Kaalyaal,کالیال,Awan
Kotla,کوٹلہ,Awan
Kaalray,کالرے,Awan
Kundlaani,کندلانی,Awan
Karmlay,کرملے,Awan
Katt'waal,کٹوال,Awan
Khambray,کھمبرے,Awan
Khurana,کھرانہ,Awan
Gul Jahan,گل جہان,Awan
Ghoal,گھول,Awan
Ghoray Khel,گھوڑے خیل,Awan
Ghartay,گھرٹے,Awan
Ghoghyal,گھوگھیال,Awan
Laswaal,لسوال,Awan
Lasiyal,لسیال,Awan
Laal kay,لعل کے,Awan
Laal khel,لال خیل,Awan
Ladyaal,لدیال,Awan
Ladhay Khel,لدھے خیل,Awan
Mondyal,مونڈیال,Awan
Madhwaal,مدھوال,Awan
Maswaal,مسوال,Awan
Meer Ahmad,میر احمد,Awan
Mandoo,مندو,Awan
Meena aal,مینا آل,Awan
Mardwaal,مردوال,Awan
Masraal,مصرال,Awan
Muhammad Yaray Khel,محمدیارے خیل,Awan
Marnaal,مرنال,Awan
Malok aal,ملوک آل,Awan
Malok Shahi,ملوک شاہی,Awan
Makhana,مکھانا,Awan
Machorra,مچھوڑا,Awan
Mughlaal/ Magaal,مغلال/ مگال,Awan
Mokhar,موکھر,Awan
Mayaal,میال,Awan
Matwaal,متوال,Awan
Mehar Jaan,مہرجان,Awan
Mandyal,مندیال,Awan
Manna aal,منا آل,Awan
Majo aal,ماجو آل,Awan
Malka,ملکا,Awan
Mangar,منگر,Awan
Meer zaal,میرزال,Awan
Mehar aal,مہر آل,Awan
Mulaa aal,ملاں آل,Awan
